Date,"Page description","Series code",Count
"May 2018","Full-text PDF",daed,8169
"May 2018","Full-text PDF",leon,6036
"May 2018","Full-text PDF",glep,5967
"May 2018","Full-text PDF",octo,5722
"May 2018","Full-text PDF",pres,5121
"May 2018","Full-text PDF",jcws,4878
"May 2018","Full-text PDF",afar,4226
"May 2018","Full-text PDF",comj,3888
"May 2018","Full-text PDF",dram,3831
"May 2018","Full-text PDF",adev,3431
"May 2018","Full-text PDF",grey,3177
"May 2018","Full-text PDF",jinh,2791
"May 2018","Full-text PDF",ling,2659
"May 2018","Full-text PDF",edfp,2526
"May 2018","Full-text PDF",posc,2433
"May 2018","Full-text PDF",evco,2392
"May 2018","Full-text PDF",artl,2331
"May 2018","Full-text PDF",pajj,2078
"May 2018","Full-text PDF",asep,1807
"May 2018","Full-text PDF",netn,1520
"May 2018","Full-text PDF",tneq,1338
"May 2018","Full-text PDF",ajhe,1094
"May 2018","Full-text PDF",lmj,799
"May 2018","Full-text PDF",artm,740
"May 2018","Full-text PDF",thld,336
"May 2018","Full-text PDF",cpsy,287
"May 2018","Full-text PDF",opmi,233
"May 2018","Full-text PDF",ecal,102
"May 2018","Full-text PDF",pam,39
"May 2018","Full-text PDF",live,27
"May 2018","Full-text HTML",jocn,15161
"May 2018","Full-text HTML",isec,10233
"May 2018","Full-text HTML",neco,6114
"May 2018","Full-text HTML",coli,4034
"May 2018","Full-text HTML",daed,3597
"May 2018","Full-text HTML",glep,2602
"May 2018","Full-text HTML",jinh,2581
"May 2018","Full-text HTML",edfp,2504
"May 2018","Full-text HTML",jcws,2081
"May 2018","Full-text HTML",ajhe,1762
"May 2018","Full-text HTML",artl,1683
"May 2018","Full-text HTML",adev,1194
"May 2018","Full-text HTML",ling,1116
"May 2018","Full-text HTML",rest,1076
"May 2018","Full-text HTML",afar,1022
"May 2018","Full-text HTML",asep,1016
"May 2018","Full-text HTML",evco,979
"May 2018","Full-text HTML",netn,925
"May 2018","Full-text HTML",posc,469
"May 2018","Full-text HTML",leon,454
"May 2018","Full-text HTML",octo,404
"May 2018","Full-text HTML",dram,305
"May 2018","Full-text HTML",desi,283
"May 2018","Full-text HTML",cpsy,276
"May 2018","Full-text HTML",grey,156
"May 2018","Full-text HTML",opmi,149
"May 2018","Full-text HTML",comj,143
"May 2018","Full-text HTML",pres,140
"May 2018","Full-text HTML",pajj,104
"May 2018","Full-text HTML",tneq,62
"May 2018","Full-text HTML",artm,61
"May 2018","Full-text HTML",lmj,48
"May 2018","Full-text HTML",thld,20
"May 2018","Full-text HTML",pam,3
"May 2018","Full-text HTML",live,1
"May 2018","Full-text EPUB",isec,154
"May 2018","Full-text EPUB",daed,43
"May 2018","Full-text EPUB",afar,18
"Jun 2018",Abstracts,rest,57039
"Jun 2018",Abstracts,jocn,40522
"Jun 2018",Abstracts,neco,30201
"Jun 2018",Abstracts,isec,18656
"Jun 2018",Abstracts,pres,11312
"Jun 2018",Abstracts,leon,8832
"Jun 2018",Abstracts,glep,7697
"Jun 2018",Abstracts,desi,7537
"Jun 2018",Abstracts,daed,6895
"Jun 2018",Abstracts,evco,5861
"Jun 2018",Abstracts,octo,5603
"Jun 2018",Abstracts,coli,5542
"Jun 2018",Abstracts,dram,5325
"Jun 2018",Abstracts,afar,5234
"Jun 2018",Abstracts,edfp,4478
"Jun 2018",Abstracts,jcws,4365
"Jun 2018",Abstracts,jinh,4146
"Jun 2018",Abstracts,comj,3665
"Jun 2018",Abstracts,artl,3335
"Jun 2018",Abstracts,ling,2936
"Jun 2018",Abstracts,grey,2921
"Jun 2018",Abstracts,asep,2622
"Jun 2018",Abstracts,pajj,2019
"Jun 2018",Abstracts,netn,2007
"Jun 2018",Abstracts,posc,1796
"Jun 2018",Abstracts,ajhe,1742
"Jun 2018",Abstracts,lmj,1613
"Jun 2018",Abstracts,itgg,1605
"Jun 2018",Abstracts,tneq,1574
"Jun 2018",Abstracts,artm,1201
"Jun 2018",Abstracts,ecal,728
"Jun 2018",Abstracts,adev,308
"Jun 2018",Abstracts,thld,259
"Jun 2018",Abstracts,cpsy,209
"Jun 2018",Abstracts,opmi,124
"Jun 2018",Abstracts,isal,76
"Jun 2018",Abstracts,live,62
"Jun 2018",Abstracts,pam,22
"Jun 2018","Full-text PDF",rest,23118
"Jun 2018","Full-text PDF",neco,15033
"Jun 2018","Full-text PDF",jocn,14337
"Jun 2018","Full-text PDF",isec,14265
"Jun 2018","Full-text PDF",coli,10599
"Jun 2018","Full-text PDF",itgg,8607
"Jun 2018","Full-text PDF",desi,6743
"Jun 2018","Full-text PDF",daed,4792
"Jun 2018","Full-text PDF",leon,4404
"Jun 2018","Full-text PDF",octo,4237
"Jun 2018","Full-text PDF",pres,4204
"Jun 2018","Full-text PDF",glep,3922
"Jun 2018","Full-text PDF",afar,3863
"Jun 2018","Full-text PDF",comj,3132
"Jun 2018","Full-text PDF",dram,2809
"Jun 2018","Full-text PDF",jinh,2754
"Jun 2018","Full-text PDF",adev,2553
"Jun 2018","Full-text PDF",grey,2541
"Jun 2018","Full-text PDF",jcws,2477
"Jun 2018","Full-text PDF",edfp,2288
"Jun 2018","Full-text PDF",ling,2015
"Jun 2018","Full-text PDF",netn,1917
"Jun 2018","Full-text PDF",evco,1747
"Jun 2018","Full-text PDF",artl,1504
"Jun 2018","Full-text PDF",asep,1484
"Jun 2018","Full-text PDF",pajj,1407
"Jun 2018","Full-text PDF",posc,1222
"Jun 2018","Full-text PDF",tneq,1117
"Jun 2018","Full-text PDF",ajhe,764
"Jun 2018","Full-text PDF",ecal,693
"Jun 2018","Full-text PDF",lmj,651
"Jun 2018","Full-text PDF",artm,583
"Jun 2018","Full-text PDF",cpsy,248
"Jun 2018","Full-text PDF",opmi,197
"Jun 2018","Full-text PDF",thld,164
"Jun 2018","Full-text PDF",pam,15
"Jun 2018","Full-text PDF",isal,12
"Jun 2018","Full-text PDF",live,9
"Jun 2018","Full-text HTML",jocn,9749
"Jun 2018","Full-text HTML",isec,4309
"Jun 2018","Full-text HTML",neco,4253
"Jun 2018","Full-text HTML",coli,2727
"Jun 2018","Full-text HTML",daed,1452
"Jun 2018","Full-text HTML",glep,1400
"Jun 2018","Full-text HTML",edfp,1363
"Jun 2018","Full-text HTML",netn,1358
"Jun 2018","Full-text HTML",jinh,1174
"Jun 2018","Full-text HTML",ajhe,1141
"Jun 2018","Full-text HTML",artl,826
"Jun 2018","Full-text HTML",adev,815
"Jun 2018","Full-text HTML",evco,815
"Jun 2018","Full-text HTML",jcws,786
"Jun 2018","Full-text HTML",afar,721
"Jun 2018","Full-text HTML",ling,715
"Jun 2018","Full-text HTML",asep,509
"Jun 2018","Full-text HTML",posc,337
"Jun 2018","Full-text HTML",cpsy,232
"Jun 2018","Full-text HTML",opmi,142
"Jun 2018","Full-text HTML",rest,109
"Jun 2018","Full-text HTML",leon,74
"Jun 2018","Full-text HTML",octo,71
"Jun 2018","Full-text HTML",desi,43
"Jun 2018","Full-text HTML",dram,39
"Jun 2018","Full-text HTML",grey,27
"Jun 2018","Full-text HTML",pres,25
"Jun 2018","Full-text HTML",comj,21
"Jun 2018","Full-text HTML",artm,17
"Jun 2018","Full-text HTML",pajj,14
"Jun 2018","Full-text HTML",lmj,10
"Jun 2018","Full-text HTML",thld,4
"Jun 2018","Full-text HTML",tneq,1
"Jun 2018","Full-text EPUB",isec,107
"Jun 2018","Full-text EPUB",daed,31
"Jun 2018","Full-text EPUB",afar,8
"Jul 2018",Abstracts,rest,58845
"Jul 2018",Abstracts,jocn,36602
"Jul 2018",Abstracts,neco,28113
"Jul 2018",Abstracts,isec,15415
"Jul 2018",Abstracts,pres,9863
"Jul 2018",Abstracts,glep,7714
"Jul 2018",Abstracts,daed,7557
"Jul 2018",Abstracts,desi,7480
"Jul 2018",Abstracts,leon,7435
"Jul 2018",Abstracts,octo,5709
"Jul 2018",Abstracts,evco,5440
"Jul 2018",Abstracts,coli,5157
"Jul 2018",Abstracts,edfp,4749
"Jul 2018",Abstracts,dram,4325
"Jul 2018",Abstracts,isal,3974
"Jul 2018",Abstracts,jcws,3652
"Jul 2018",Abstracts,ling,3616
"Jul 2018",Abstracts,artl,3434
"Jul 2018",Abstracts,itgg,3332
"Jul 2018",Abstracts,afar,2907
"Jul 2018",Abstracts,jinh,2827
"Jul 2018",Abstracts,comj,2801
"Jul 2018",Abstracts,asep,2517
"Jul 2018",Abstracts,grey,2371
"Jul 2018",Abstracts,netn,2039
"Jul 2018",Abstracts,posc,1530
"Jul 2018",Abstracts,ajhe,1465
"Jul 2018",Abstracts,lmj,1303
"Jul 2018",Abstracts,pajj,1292
"Jul 2018",Abstracts,tneq,1086
"Jul 2018",Abstracts,artm,1003
"Jul 2018",Abstracts,ecal,453
"Jul 2018",Abstracts,cpsy,375
"Jul 2018",Abstracts,adev,246
"Jul 2018",Abstracts,thld,233
"Jul 2018",Abstracts,opmi,121
"Jul 2018",Abstracts,live,39
"Jul 2018",Abstracts,pam,32
"Jul 2018","Full-text PDF",rest,22796
"Jul 2018","Full-text PDF",jocn,13507
"Jul 2018","Full-text PDF",isec,12891
"Jul 2018","Full-text PDF",neco,12805
"Jul 2018","Full-text PDF",itgg,12132
"Jul 2018","Full-text PDF",coli,10591
"Jul 2018","Full-text PDF",desi,7684
"Jul 2018","Full-text PDF",daed,6045
"Jul 2018","Full-text PDF",isal,4712
"Jul 2018","Full-text PDF",octo,4476
"Jul 2018","Full-text PDF",leon,4289
"Jul 2018","Full-text PDF",pres,3869
"Jul 2018","Full-text PDF",glep,3374
"Jul 2018","Full-text PDF",ling,2906
"Jul 2018","Full-text PDF",comj,2905
"Jul 2018","Full-text PDF",adev,2499
"Jul 2018","Full-text PDF",dram,2497
"Jul 2018","Full-text PDF",grey,2203
"Jul 2018","Full-text PDF",edfp,2132
"Jul 2018","Full-text PDF",jcws,2112
"Jul 2018","Full-text PDF",netn,1782
"Jul 2018","Full-text PDF",evco,1673
"Jul 2018","Full-text PDF",afar,1612
"Jul 2018","Full-text PDF",jinh,1531
"Jul 2018","Full-text PDF",asep,1481
"Jul 2018","Full-text PDF",artl,1429
"Jul 2018","Full-text PDF",pajj,1059
"Jul 2018","Full-text PDF",posc,1049
"Jul 2018","Full-text PDF",tneq,914
"Jul 2018","Full-text PDF",artm,845
"Jul 2018","Full-text PDF",lmj,718
"Jul 2018","Full-text PDF",ajhe,617
"Jul 2018","Full-text PDF",ecal,443
"Jul 2018","Full-text PDF",cpsy,262
"Jul 2018","Full-text PDF",thld,246
"Jul 2018","Full-text PDF",opmi,160
"Jul 2018","Full-text PDF",pam,26
"Jul 2018","Full-text PDF",live,17
"Jul 2018","Full-text HTML",jocn,9959
"Jul 2018","Full-text HTML",isec,4377
"Jul 2018","Full-text HTML",neco,4174
"Jul 2018","Full-text HTML",coli,2822
"Jul 2018","Full-text HTML",daed,2333
"Jul 2018","Full-text HTML",edfp,1533
"Jul 2018","Full-text HTML",glep,1354
"Jul 2018","Full-text HTML",ling,1176
"Jul 2018","Full-text HTML",adev,955
"Jul 2018","Full-text HTML",artl,950
"Jul 2018","Full-text HTML",netn,948
"Jul 2018","Full-text HTML",jcws,816
"Jul 2018","Full-text HTML",ajhe,809
"Jul 2018","Full-text HTML",evco,760
"Jul 2018","Full-text HTML",jinh,683
"Jul 2018","Full-text HTML",asep,645
"Jul 2018","Full-text HTML",cpsy,429
"Jul 2018","Full-text HTML",afar,418
"Jul 2018","Full-text HTML",posc,341
"Jul 2018","Full-text HTML",rest,227
"Jul 2018","Full-text HTML",opmi,134
"Jul 2018","Full-text HTML",octo,119
"Jul 2018","Full-text HTML",leon,74
"Jul 2018","Full-text HTML",isal,70
"Jul 2018","Full-text HTML",dram,52
"Jul 2018","Full-text HTML",desi,39
"Jul 2018","Full-text HTML",comj,30
"Jul 2018","Full-text HTML",grey,30
"Jul 2018","Full-text HTML",pres,29
"Jul 2018","Full-text HTML",pajj,19
"Jul 2018","Full-text HTML",tneq,12
"Jul 2018","Full-text HTML",lmj,8
"Jul 2018","Full-text HTML",artm,6
"Jul 2018","Full-text HTML",thld,4
"Jul 2018","Full-text EPUB",isec,58
"Jul 2018","Full-text EPUB",daed,48
"Jul 2018","Full-text EPUB",afar,9
"Aug 2018",Abstracts,rest,60091
"Aug 2018",Abstracts,jocn,38491
"Aug 2018",Abstracts,neco,27533
"Aug 2018",Abstracts,isec,19725
"Aug 2018",Abstracts,leon,12023
"Aug 2018",Abstracts,pres,10822
"Aug 2018",Abstracts,desi,8933
"Aug 2018",Abstracts,glep,8477
"Aug 2018",Abstracts,daed,8313
"Aug 2018",Abstracts,octo,6932
"Aug 2018",Abstracts,evco,5823
"Aug 2018",Abstracts,coli,5538
"Aug 2018",Abstracts,dram,5509
"Aug 2018",Abstracts,jcws,4591
"Aug 2018",Abstracts,edfp,4334
"Aug 2018",Abstracts,jinh,3965
"Aug 2018",Abstracts,afar,3626
"Aug 2018",Abstracts,ling,3563
"Aug 2018",Abstracts,artl,3355
"Aug 2018",Abstracts,grey,3254
"Aug 2018",Abstracts,comj,3026
"Aug 2018",Abstracts,asep,2840
"Aug 2018",Abstracts,ajhe,2801
"Aug 2018",Abstracts,isal,2390
"Aug 2018",Abstracts,itgg,2388
"Aug 2018",Abstracts,posc,2142
"Aug 2018",Abstracts,netn,2115
"Aug 2018",Abstracts,pajj,1960
"Aug 2018",Abstracts,lmj,1525
"Aug 2018",Abstracts,tneq,1458
"Aug 2018",Abstracts,artm,1122
"Aug 2018",Abstracts,ecal,746
"Aug 2018",Abstracts,cpsy,498
"Aug 2018",Abstracts,thld,456
"Aug 2018",Abstracts,tacl,422
"Aug 2018",Abstracts,adev,333
"Aug 2018",Abstracts,opmi,164
"Aug 2018",Abstracts,live,74
"Aug 2018",Abstracts,pam,53
"Aug 2018","Full-text PDF",rest,22708
"Aug 2018","Full-text PDF",isec,15012
"Aug 2018","Full-text PDF",jocn,14333
"Aug 2018","Full-text PDF",neco,12620
"Aug 2018","Full-text PDF",itgg,11911
"Aug 2018","Full-text PDF",coli,10134
"Aug 2018","Full-text PDF",desi,8022
"Aug 2018","Full-text PDF",daed,7455
"Aug 2018","Full-text PDF",leon,5422
"Aug 2018","Full-text PDF",octo,4936
"Aug 2018","Full-text PDF",pres,4110
"Aug 2018","Full-text PDF",glep,3978
"Aug 2018","Full-text PDF",adev,3197
"Aug 2018","Full-text PDF",grey,2812
"Aug 2018","Full-text PDF",isal,2780
"Aug 2018","Full-text PDF",comj,2637
"Aug 2018","Full-text PDF",ling,2609
"Aug 2018","Full-text PDF",dram,2533
"Aug 2018","Full-text PDF",jcws,2415
"Aug 2018","Full-text PDF",edfp,2204
"Aug 2018","Full-text PDF",netn,1817
"Aug 2018","Full-text PDF",jinh,1719
"Aug 2018","Full-text PDF",afar,1672
"Aug 2018","Full-text PDF",evco,1595
"Aug 2018","Full-text PDF",artl,1511
"Aug 2018","Full-text PDF",posc,1343
"Aug 2018","Full-text PDF",asep,1339
"Aug 2018","Full-text PDF",pajj,1278
"Aug 2018","Full-text PDF",tneq,1250
"Aug 2018","Full-text PDF",ajhe,764
"Aug 2018","Full-text PDF",lmj,639
"Aug 2018","Full-text PDF",cpsy,634
"Aug 2018","Full-text PDF",artm,534
"Aug 2018","Full-text PDF",ecal,379
"Aug 2018","Full-text PDF",tacl,370
"Aug 2018","Full-text PDF",opmi,237
"Aug 2018","Full-text PDF",thld,152
"Aug 2018","Full-text PDF",pam,32
"Aug 2018","Full-text PDF",live,24
"Aug 2018","Full-text HTML",jocn,12801
"Aug 2018","Full-text HTML",isec,9490
"Aug 2018","Full-text HTML",neco,5706
"Aug 2018","Full-text HTML",daed,2861
"Aug 2018","Full-text HTML",coli,2635
"Aug 2018","Full-text HTML",edfp,1914
"Aug 2018","Full-text HTML",glep,1809
"Aug 2018","Full-text HTML",netn,1383
"Aug 2018","Full-text HTML",jinh,1365
"Aug 2018","Full-text HTML",adev,1286
"Aug 2018","Full-text HTML",ajhe,1249
"Aug 2018","Full-text HTML",jcws,1154
"Aug 2018","Full-text HTML",ling,1085
"Aug 2018","Full-text HTML",artl,1068
"Aug 2018","Full-text HTML",rest,951
"Aug 2018","Full-text HTML",afar,949
"Aug 2018","Full-text HTML",evco,885
"Aug 2018","Full-text HTML",asep,865
"Aug 2018","Full-text HTML",posc,642
"Aug 2018","Full-text HTML",cpsy,451
"Aug 2018","Full-text HTML",leon,393
"Aug 2018","Full-text HTML",octo,340
"Aug 2018","Full-text HTML",desi,286
"Aug 2018","Full-text HTML",dram,253
"Aug 2018","Full-text HTML",opmi,180
"Aug 2018","Full-text HTML",pres,158
"Aug 2018","Full-text HTML",grey,126
"Aug 2018","Full-text HTML",comj,113
"Aug 2018","Full-text HTML",tneq,72
"Aug 2018","Full-text HTML",pajj,69
"Aug 2018","Full-text HTML",lmj,45
